ID,Name,Type 1,Type 2,Generation
1,Bulbasaur,Grass,Poison,1
2,Ivysaur,Grass,Poison,1
3,Venusaur,Grass,Poison,1
3,VenusaurMega Venusaur,Grass,Poison,1
4,Charmander,Fire,None,1
5,Charmeleon,Fire,None,1
6,Charizard,Fire,Flying,1
6,CharizardMega Charizard X,Fire,Dragon,1
6,CharizardMega Charizard Y,Fire,Flying,1
7,Squirtle,Water,None,1
8,Wartortle,Water,None,1
9,Blastoise,Water,None,1
9,BlastoiseMega Blastoise,Water,None,1
10,Caterpie,Bug,None,1
11,Metapod,Bug,None,1
12,Butterfree,Bug,Flying,1
13,Weedle,Bug,Poison,1
14,Kakuna,Bug,Poison,1
15,Beedrill,Bug,Poison,1
15,BeedrillMega Beedrill,Bug,Poison,1
16,Pidgey,Normal,Flying,1
17,Pidgeotto,Normal,Flying,1
18,Pidgeot,Normal,Flying,1
18,PidgeotMega Pidgeot,Normal,Flying,1
19,Rattata,Normal,None,1
20,Raticate,Normal,None,1
21,Spearow,Normal,Flying,1
22,Fearow,Normal,Flying,1
23,Ekans,Poison,None,1
24,Arbok,Poison,None,1
25,Pikachu,Electric,None,1
26,Raichu,Electric,None,1
27,Sandshrew,Ground,None,1
28,Sandslash,Ground,None,1
29,Nidoran♀,Poison,None,1
30,Nidorina,Poison,None,1
31,Nidoqueen,Poison,Ground,1
32,Nidoran♂,Poison,None,1
33,Nidorino,Poison,None,1
34,Nidoking,Poison,Ground,1
35,Clefairy,Fairy,None,1
36,Clefable,Fairy,None,1
37,Vulpix,Fire,None,1
38,Ninetales,Fire,None,1
39,Jigglypuff,Normal,Fairy,1
40,Wigglytuff,Normal,Fairy,1
41,Zubat,Poison,Flying,1
42,Golbat,Poison,Flying,1
43,Oddish,Grass,Poison,1
44,Gloom,Grass,Poison,1
45,Vileplume,Grass,Poison,1
46,Paras,Bug,Grass,1
47,Parasect,Bug,Grass,1
48,Venonat,Bug,Poison,1
49,Venomoth,Bug,Poison,1
50,Diglett,Ground,None,1
51,Dugtrio,Ground,None,1
52,Meowth,Normal,None,1
53,Persian,Normal,None,1
54,Psyduck,Water,None,1
55,Golduck,Water,None,1
56,Mankey,Fighting,None,1
57,Primeape,Fighting,None,1
58,Growlithe,Fire,None,1
59,Arcanine,Fire,None,1
60,Poliwag,Water,None,1
61,Poliwhirl,Water,None,1
62,Poliwrath,Water,Fighting,1
63,Abra,Psychic,None,1
64,Kadabra,Psychic,None,1
65,Alakazam,Psychic,None,1
65,AlakazamMega Alakazam,Psychic,None,1
66,Machop,Fighting,None,1
67,Machoke,Fighting,None,1
68,Machamp,Fighting,None,1
69,Bellsprout,Grass,Poison,1
70,Weepinbell,Grass,Poison,1
71,Victreebel,Grass,Poison,1
72,Tentacool,Water,Poison,1
73,Tentacruel,Water,Poison,1
74,Geodude,Rock,Ground,1
75,Graveler,Rock,Ground,1
76,Golem,Rock,Ground,1
77,Ponyta,Fire,None,1
78,Rapidash,Fire,None,1
79,Slowpoke,Water,Psychic,1
80,Slowbro,Water,Psychic,1
80,SlowbroMega Slowbro,Water,Psychic,1
81,Magnemite,Electric,Steel,1
82,Magneton,Electric,Steel,1
83,Farfetch'd,Normal,Flying,1
84,Doduo,Normal,Flying,1
85,Dodrio,Normal,Flying,1
86,Seel,Water,None,1
87,Dewgong,Water,Ice,1
88,Grimer,Poison,None,1
89,Muk,Poison,None,1
90,Shellder,Water,None,1
91,Cloyster,Water,Ice,1
92,Gastly,Ghost,Poison,1
93,Haunter,Ghost,Poison,1
94,Gengar,Ghost,Poison,1
94,GengarMega Gengar,Ghost,Poison,1
95,Onix,Rock,Ground,1
96,Drowzee,Psychic,None,1
97,Hypno,Psychic,None,1
98,Krabby,Water,None,1
99,Kingler,Water,None,1
